episode,state,next_state,time_index,time
0,"(0, 3)","(0, 2)",0,0.00017786026000976562
0,"(0, 2)","(0, 1)",1,0.0008211135864257812
0,"(0, 1)","(1, 1)",2,0.0010404586791992188
0,"(1, 1)","(0, 1)",3,0.0011446475982666016
0,"(0, 1)","(0, 0)",4,0.001226663589477539
0,"(0, 0)","(0, 1)",5,0.0013039112091064453
0,"(0, 1)","(0, 1)",6,0.001369476318359375
0,"(0, 1)","(1, 1)",7,0.0015056133270263672
0,"(1, 1)","(0, 1)",8,0.0015859603881835938
0,"(0, 1)","(0, 0)",9,0.0016543865203857422
0,"(0, 0)","(1, 0)",10,0.0017039775848388672
0,"(1, 0)","(2, 0)",11,0.0017533302307128906
0,"(2, 0)","(2, 0)",12,0.0018191337585449219
0,"(2, 0)","(3, 0)",13,0.0018918514251708984
0,"(3, 0)","(4, 0)",14,0.0019736289978027344
0,"(4, 0)","(5, 0)",15,0.003009319305419922
0,"(5, 0)","(5, 0)",16,0.0031387805938720703
0,"(5, 0)","(5, 1)",17,0.0032269954681396484
0,"(5, 1)","(6, 1)",18,0.003319263458251953
0,"(6, 1)","(5, 1)",19,0.003390789031982422
0,"(5, 1)","(5, 0)",20,0.003596067428588867
0,"(5, 0)","(5, 0)",21,0.0036911964416503906
0,"(5, 0)","(5, 0)",22,0.003759145736694336
0,"(5, 0)","(4, 0)",23,0.0038230419158935547
0,"(4, 0)","(5, 0)",24,0.003891468048095703
0,"(5, 0)","(6, 0)",25,0.0039560794830322266
0,"(6, 0)","(5, 0)",26,0.004027605056762695
0,"(5, 0)","(5, 0)",27,0.004116535186767578
0,"(5, 0)","(6, 0)",28,0.004206418991088867
0,"(6, 0)","(6, 0)",29,0.004294395446777344
0,"(6, 0)","(6, 0)",30,0.004381418228149414
0,"(6, 0)","(7, 0)",31,0.004572868347167969
0,"(7, 0)","(8, 0)",32,0.004673480987548828
0,"(8, 0)","(8, 0)",33,0.004746198654174805
0,"(8, 0)","(8, 0)",34,0.004930257797241211
0,"(8, 0)","(7, 0)",35,0.005040407180786133
0,"(7, 0)","(8, 0)",36,0.005235195159912109
0,"(8, 0)","(8, 1)",37,0.005342245101928711
0,"(8, 1)","(8, 2)",38,0.0054721832275390625
0,"(8, 2)","(9, 2)",39,0.00567317008972168
0,"(9, 2)","(10, 2)",40,0.0057408809661865234
0,"(10, 2)","(11, 2)",41,0.005800724029541016
0,"(11, 2)","(11, 3)",42,0.005846977233886719
1,"(0, 3)","(0, 2)",0,0.00012040138244628906
1,"(0, 2)","(1, 2)",1,0.0002779960632324219
1,"(1, 2)","(2, 2)",2,0.0003330707550048828
1,"(2, 2)","(1, 2)",3,0.0004668235778808594
1,"(1, 2)","(2, 2)",4,0.0005197525024414062
1,"(2, 2)","(3, 2)",5,0.0005705356597900391
1,"(3, 2)","(4, 2)",6,0.0006382465362548828
1,"(4, 2)","(5, 2)",7,0.0007059574127197266
1,"(5, 2)","(0, 3)",8,0.0007760524749755859
1,"(0, 3)","(0, 2)",9,0.0008494853973388672
1,"(0, 2)","(1, 2)",10,0.0008983612060546875
1,"(1, 2)","(2, 2)",11,0.0009474754333496094
1,"(2, 2)","(3, 2)",12,0.0010218620300292969
1,"(3, 2)","(4, 2)",13,0.0010695457458496094
1,"(4, 2)","(5, 2)",14,0.0011305809020996094
1,"(5, 2)","(5, 1)",15,0.0012030601501464844
1,"(5, 1)","(5, 2)",16,0.0012543201446533203
1,"(5, 2)","(4, 2)",17,0.001332998275756836
1,"(4, 2)","(5, 2)",18,0.0013971328735351562
1,"(5, 2)","(6, 2)",19,0.001444101333618164
